distrito_nombre,agrupacion_nombre,votos_cantidad
Buenos Aires,LA LIBERTAD AVANZA,4776711
Buenos Aires,UNION POR LA PATRIA,4919211
Catamarca,LA LIBERTAD AVANZA,123588
Catamarca,UNION POR LA PATRIA,110721
Chaco,LA LIBERTAD AVANZA,353024
Chaco,UNION POR LA PATRIA,352036
Chubut,LA LIBERTAD AVANZA,195543
Chubut,UNION POR LA PATRIA,135267
Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,1034157
Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,772440
Corrientes,LA LIBERTAD AVANZA,366191
Corrientes,UNION POR LA PATRIA,322157
Córdoba,LA LIBERTAD AVANZA,1637147
Córdoba,UNION POR LA PATRIA,573695
Entre Ríos,LA LIBERTAD AVANZA,525046
Entre Ríos,UNION POR LA PATRIA,328920
Formosa,LA LIBERTAD AVANZA,152131
Formosa,UNION POR LA PATRIA,197598
Jujuy,LA LIBERTAD AVANZA,253180
Jujuy,UNION POR LA PATRIA,180831
La Pampa,LA LIBERTAD AVANZA,126302
La Pampa,UNION POR LA PATRIA,93923
La Rioja,LA LIBERTAD AVANZA,125247
La Rioja,UNION POR LA PATRIA,107880
Mendoza,LA LIBERTAD AVANZA,780364
Mendoza,UNION POR LA PATRIA,316450
Misiones,LA LIBERTAD AVANZA,403126
Misiones,UNION POR LA PATRIA,306647
Neuquén,LA LIBERTAD AVANZA,253472
Neuquén,UNION POR LA PATRIA,166022
Río Negro,LA LIBERTAD AVANZA,235662
Río Negro,UNION POR LA PATRIA,198814
Salta,LA LIBERTAD AVANZA,456509
Salta,UNION POR LA PATRIA,332510
San Juan,LA LIBERTAD AVANZA,274429
San Juan,UNION POR LA PATRIA,177818
San Luis,LA LIBERTAD AVANZA,213778
San Luis,UNION POR LA PATRIA,100638
Santa Cruz,LA LIBERTAD AVANZA,104179
Santa Cruz,UNION POR LA PATRIA,75244
Santa Fe,LA LIBERTAD AVANZA,1278243
Santa Fe,UNION POR LA PATRIA,756388
Santiago del Estero,LA LIBERTAD AVANZA,198592
Santiago del Estero,UNION POR LA PATRIA,430248
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",LA LIBERTAD AVANZA,54832
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNION POR LA PATRIA,48046
Tucumán,LA LIBERTAD AVANZA,555009
Tucumán,UNION POR LA PATRIA,512638
